,sid,experiment,nhost,nunit,nunit_done,nunit_failed,npilot,npilot_active,ncore,ncore_active,P_PMGR_SCHEDULING,P_PMGR_QUEUING,P_LRMS_SUBMITTING,P_LRMS_QUEUING,P_LRMS_RUNNING,util_p_total,util_p_boot,util_p_setup_1,util_p_orte,util_p_setup_2,util_p_uexec,util_p_term,U_UMGR_SCHEDULING,U_UMGR_BINDING,U_AGENT_QUEUING,U_AGENT_SCHEDULING,U_AGENT_QUEUING_EXEC,U_AGENT_EXECUTING,util_u_total,cu_exec_start_stop,util_u_equeue,util_u_pre_exec,util_u_eprep,util_u_exec_rp,util_u_exec_cu,util_u_exec_orte,util_u_exec_app,util_u_unschedule,NEW,TTC
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,sscaling1,1,8192,8192,0,1,1,3584,3584,0.13908028602600098,0.001836776733398437,20.53313660621643,2477.9362297058105,507.59041476249695,572.3812999725343,43.28949999809265,0,0,0,10.786337852478027,509.34420466423035,7.4306440353393555,4.817645072937012,84.73693346977235,476.83772897720337,167.5176913738251,490.01988530158997,490.08520913124084,489.6296000480652,241.3831465244293,199.29025101661682,62.63665747642517,211.74382495880127,322.20410585403437,457.3948559761048,484.77168607711786,447.6104810237885,26.50147223472595,1582858716.1208615
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,sscaling1,1,8192,8192,0,1,1,1792,1792,0.13918709754943848,0.008898735046386719,18.19248461723328,50.78647017478943,929.4190859794617,979.0845999717712,26.07760000228882,0,0,0,4.450585126876831,933.5563418865204,7.208208084106445,4.987019062042236,84.14311861991881,902.120166540146,134.1667287349701,911.6683232784272,911.7202270030976,911.424232006073,312.48023843765264,200.8093328475952,50.23012089729309,224.67919611930847,429.51044368743896,778.7059712409973,910.199827194214,753.3988347053528,26.681641101837158,1582856871.4401178
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0004,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0004,sscaling1,1,8192,8192,0,1,1,448,448,0.13112163543701172,0.003684520721435547,36.31826043128967,138.60021090507507,3720.726165533066,3857.061700105667,111.75769996643066,0,0,0,4.249945163726807,3722.8181552886963,11.061467409133911,5.9013192653656015,83.9222903251648,3692.5349793434143,93.3717668056488,3704.031593799591,3704.0985753536224,3703.7544088363647,646.1206171512604,217.57755279541016,42.72291159629822,255.86046290397644,672.4678089618683,2409.990593910217,3703.168641805649,1868.9536983966827,46.193812131881714,1583454409.9996345
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0002,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0002,sscaling1,1,8192,8192,0,1,1,448,448,0.13872075080871582,0.007744550704956055,11.963172912597654,46.52874541282654,3560.6166999340057,3598.9686999320984,22.709800004959106,0,0,0,4.435400724411012,3557.457602262497,7.365882158279419,5.521589756011963,83.9790828227997,3531.4429721832275,171.93188047409058,3540.299070835113,3540.3515424728394,3469.080453157425,712.2085041999817,212.72150492668152,114.76912522315979,253.35233449935916,652.9227721691133,1650.7089517116547,3463.2326691150665,1679.7810628414154,25.20909905433655,1583436205.0873685
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0002,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0002,sscaling1,1,8192,8192,0,1,1,896,896,0.13883018493652344,0.0016372203826904295,31.358670234680176,55.693332195281975,1827.5899522304533,1882.1503999233248,25.753699779510498,0,0,0,4.5521976947784415,1832.5722551345825,7.229707479476929,5.9548397064208975,84.0691077709198,1807.320924997329,104.27220702171326,1818.2977604866028,1818.3339920043945,1818.0516369342804,450.3063609600067,203.8096263408661,41.952805519104,235.31833481788638,552.8333618640901,1429.6870892047882,1817.09672999382,1184.7505233287814,26.984852075576786,1583464112.8790812
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0003,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0003,sscaling1,1,8192,8192,0,1,1,1792,1792,0.13084673881530762,0.003026723861694336,33.2148642539978,61.724080562591546,922.445586681366,978.5046999454497,23.128899812698364,0,0,0,6.724305152893066,936.569150686264,8.920453548431396,5.245580196380615,83.9308178424835,899.5725936889647,116.48944973945619,908.7090985774994,908.7711756229401,908.4281339645386,309.2513687610626,190.22095561027527,33.67179012298584,214.40848183631897,425.28437423706055,796.1490905284883,907.6757218837738,746.7591350078583,30.083320140838623,1583470916.9538438
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018325.0001,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018325.0001,sscaling1,1,8192,8192,0,1,1,7168,7168,0.13873744010925293,0.002871274948120117,21.61472725868225,34578.390331029885,288.8369727134705,334.8886001110077,33.38830018043518,0,0,0,3.8910224437713614,288.9686918258667,7.283484935760497,5.935286283493043,84.6046996116638,262.2798001766205,156.15698361396792,273.1889514923096,273.2834892272949,272.9641480445862,181.7756149768829,173.0201804637909,36.442099571228034,178.40862393379211,220.9488699436188,260.45229864120483,272.40366220474243,259.3134915828705,25.69278621673584,1583318082.4634874
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0000,sscaling1,1,8192,8192,0,1,1,7168,7168,0.13867521286010742,0.00400853157043457,31.268187761306766,8063.039584636688,293.73982977867126,347.3417000770569,30.82930016517639,0,0,0,10.339267969131472,296.9659457206726,7.221316337585449,5.4651875495910645,84.26447439193727,271.1129770278931,165.23356819152832,281.03681087493896,281.06973481178284,280.77924704551697,192.8887221813202,184.19799041748047,48.19521498680115,189.9266438484192,234.91843152046204,267.83837485313416,280.11917591094965,271.0380561351776,29.33219695091248,1583422968.9393153
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0001,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0001,sscaling1,1,8192,8192,0,1,1,896,896,0.13134527206420898,0.007611513137817383,32.808955192565925,52.48665857315064,1880.1116547584534,1924.0700001716614,28.593300104141235,0,0,0,12.057315587997437,1877.6086049079893,7.29127049446106,5.438010692596436,83.45620989799501,1844.3117055892944,119.00987768173219,1854.2225728034973,1854.3114967346191,1853.8859910964968,474.8177409172058,208.27484941482544,50.81425762176514,239.25377249717712,562.3926882743834,1440.469481229782,1853.184415102005,1235.7389843463898,27.828608512878407,1583461103.0294304
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0008,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0008,sscaling1,1,8192,8192,0,1,1,1792,1792,0.13119101524353027,0.005301237106323242,13.062901735305786,44.74987530708313,888.5755321979523,926.3976998329164,21.591300010681152,0,0,0,4.443376541137695,886.0879783630371,7.075580596923827,5.986926794052124,84.20818018913269,858.2096676826477,118.3497085571289,869.4753375053406,869.5294585227966,869.1720809936522,300.0492956638336,191.26433491706848,31.93306851387024,215.18617701530457,421.26596188545227,686.0194406509397,868.5519359111786,716.7542753219604,29.482028007507324,1583500440.6382325
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0007,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0007,sscaling1,1,8192,8192,0,1,1,1792,1792,0.13843727111816406,0.009597539901733398,29.47449803352356,48.471205472946174,930.6204297542572,974.0090000629424,21.200399875640873,0,0,0,4.354309320449828,934.2298269271852,7.385111808776855,5.9589805603027335,83.80206775665283,903.146891117096,115.92472267150879,914.1491694450377,914.1579296588898,913.8665339946747,313.77224802970886,189.5002009868621,33.46014428138733,214.0602068901062,427.573130607605,779.5226516723633,913.0484251976013,748.0448896884918,31.4694242477417,1583497171.9840536
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0000,sscaling1,1,8192,8192,0,1,1,896,896,0.13104939460754395,0.0014545917510986328,32.15319585800171,47.52429533004761,1846.374292612076,1884.951600074768,22.72960019111633,0,0,0,4.491998910903932,1843.4693048000336,7.339799404144287,5.465476512908936,83.62368512153624,1811.7235188484192,122.91548109054564,1822.9344806671145,1823.0319414138794,1822.6772239208221,464.1433277130127,212.36629700660703,64.1454713344574,244.37415051460263,567.2868320941925,1413.7661392688751,1820.4403328895569,1211.7173702716827,29.035499095916748,1583458191.3124785
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0010,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0010,sscaling1,1,8192,8192,0,1,1,448,448,0.13104486465454102,0.00684809684753418,11.679377794265747,45.50201725959778,3630.6803255081177,3670.611500024796,22.23449993133545,0,0,0,4.339201211929321,3629.787945508957,6.9143967628479,5.47187089920044,83.24911832809448,3599.446939229965,89.89232969284058,3607.334089994431,3607.3957006931305,3607.058887958527,633.4666306972504,208.3042333126068,34.626717805862434,248.7013976573944,650.9636015892029,2041.2372546195984,3604.622281074524,1656.9324886798859,27.84599637985229,1583509292.9815512
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0011,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0011,sscaling1,1,8192,8192,0,1,1,3584,3584,0.1313178539276123,0.003159761428833008,32.565340757369995,1245.3346428871155,472.4668071269989,509.6435000896454,22.06540012359619,0,0,0,6.395108699798584,469.9066236019135,7.070655345916747,5.943101167678832,84.47323155403137,439.08420300483704,137.23918318748474,449.9280617237091,450.0366730690002,449.71768498420715,209.44147109985352,176.2921621799469,31.308067560195926,188.62373971939087,290.91354393959045,413.43528747558594,448.09780406951904,415.65406489372253,28.86456847190857,1583524954.0892606
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0016,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0016,sscaling1,1,8192,8192,0,1,1,7168,7168,0.13870978355407715,0.0031113624572753906,10.94758415222168,2931.883556365967,284.11436557769775,322.5789000988006,21.094900131225586,0,0,0,10.791866540908813,283.6114377975464,7.162506818771362,5.829460620880128,83.88364887237549,257.44685220718384,155.15215802192688,268.1899311542511,268.23545813560486,267.88529896736145,179.5479075908661,172.04564213752747,31.90670871734619,177.54018139839172,220.5226621627808,255.42683506011963,265.8626909255981,256.3061075210572,27.539153575897217,1583538134.1046069
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0009,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0009,sscaling1,1,8192,8192,0,1,1,448,448,0.13868188858032227,0.008901119232177734,10.63067626953125,47.30829095840454,3417.990758419037,3462.7603998184204,24.56309986114502,0,0,0,4.3634352684021005,3420.4861471652985,7.042086362838745,5.373755931854248,83.97061991691591,3395.9412727355957,87.60310864448547,3405.7344586849213,3405.7905809879303,3405.4875059127808,617.5710716247559,207.29072785377502,31.77136921882629,247.04886507987976,645.8485605716705,1504.3991475105286,3404.8514540195465,1590.5971310138702,26.750000476837158,1583505234.094171
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0013,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0013,sscaling1,1,8192,8192,0,1,1,3584,3584,0.13126873970031738,0.007848024368286133,16.352312326431274,461.2399764060974,478.8583900928497,515.6396999359132,22.05099987983704,0,0,0,4.5830209255218515,474.8316481113434,7.208543062210082,5.995701789855957,84.36209011077881,449.8401153087616,141.93365025520325,459.7389829158783,459.819103717804,459.46313881874084,217.10873126983643,181.6204228401184,33.14541959762573,194.7488808631897,299.3818635940552,417.9337403774262,458.8134140968323,424.2004289627075,25.53137445449829,1583528433.2978113
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0014,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0014,sscaling1,1,8192,8192,0,1,1,7168,7168,0.13066840171813965,0.009125709533691406,11.51321005821228,2173.51140666008,276.32444429397583,318.42949986457825,22.945600032806396,0,0,0,6.475682497024536,276.6703450679779,7.123938798904419,5.394108772277832,84.6535530090332,252.42766642570496,153.0670442581177,262.70131087303156,262.81096625328064,262.49498391151434,178.02720499038696,170.2478971481323,32.89490818977356,175.47189736366272,218.4149215221405,249.62414979934692,261.8142189979553,253.25342988967896,27.41501927375793,1583533527.8944411
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0015,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0015,sscaling1,1,8192,8192,0,1,1,7168,7168,0.13107585906982422,0.002872943878173828,11.378501415252686,1141.5635085105894,272.3733439445496,327.28579998016363,31.803800106048584,0,0,0,8.526845216751099,276.621821641922,6.958619594573975,5.4289069175720215,84.45775270462036,252.0786898136139,154.4238007068634,262.46098184585566,262.54478788375854,262.2335090637207,177.5485656261444,171.45620274543762,33.70239281654358,176.88202261924744,219.0642385482788,247.65995001792908,261.5550911426544,252.98400664329532,28.70603728294373,1583536338.6730304
rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0012,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0012,sscaling1,1,8192,8192,0,1,1,3584,3584,0.13127422332763672,0.005791425704956055,14.90947699546814,530.5417652130127,461.8262438774109,523.3732998371124,47.8092999458313,0,0,0,4.4520814418792725,457.78043937683105,7.023233413696289,5.518603086471558,83.98583626747131,431.6186010837555,139.56730341911316,443.1665015220642,443.1990611553192,442.8866400718689,208.85778617858887,176.95448350906372,30.964919567108154,188.9647352695465,290.3481636047363,405.5079243183136,442.24376797676086,410.1976099014282,25.652066469192505,1583527048.4961967
