,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,,,1329.62940001,34.2075998783,415.057300091,241.302700043,34.21510005,34.2105998993,173.754600048,914.572099924,207.087599993,0.00450015068054,0.00300002098083,exp1,ccs.ornl.gov,1072,32,pilot.0000,rp.session.titan-ext1.merzky1.017447.0007
0,,,23764.9091001,17.1785001755,22659.1579001,86.3991999626,17.1861000061,17.1816000938,22572.7587001,1105.75119996,69.2130999565,0.00449991226196,0.00309991836548,exp1,ccs.ornl.gov,32816,1024,pilot.0000,rp.session.titan-ext1.merzky1.017447.0013
0,,,2792.51600003,46.3652000427,1849.79329991,223.229099989,46.3724999428,46.3684000969,1626.56419992,942.722700119,176.856600046,0.00409984588623,0.0032000541687,exp1,ccs.ornl.gov,2096,64,pilot.0000,rp.session.titan-ext1.merzky1.017447.0010
0,,,2111.55839992,16.7418999672,1163.77730012,86.804500103,16.7488999367,16.744699955,1076.97280002,947.781099796,70.0556001663,0.00419998168945,0.00279998779297,exp1,ccs.ornl.gov,4144,128,pilot.0000,rp.session.titan-ext1.merzky1.017447.0011
0,,,12049.0618999,35.3980998993,11096.9043999,243.174000025,35.4050998688,35.4012999535,10853.7303998,952.157500029,207.768900156,0.00379991531372,0.0032000541687,exp1,ccs.ornl.gov,8240,256,pilot.0000,rp.session.titan-ext1.merzky1.017447.0009
0,,,35590.9652002,34.9244000912,33518.3408,244.409300089,34.9539000988,34.927200079,33273.9315,2072.62440014,209.45539999,0.0267000198364,0.00279998779297,exp1,ccs.ornl.gov,65584,2048,pilot.0000,rp.session.titan-ext1.merzky1.017447.0008
0,,,7494.52240014,16.9611001015,4961.80190015,80.053800106,16.9678001404,16.9637000561,4881.74810004,2532.72049999,63.0859999657,0.00410008430481,0.0025999546051,exp1,ccs.ornl.gov,65584,2048,pilot.0000,rp.session.titan-ext1.merzky1.017447.0018
0,,,2793.54359984,17.1037998199,1846.27609992,81.4220998287,17.1103999615,17.1066999435,1764.85400009,947.267499924,64.3116998672,0.00370001792908,0.00290012359619,exp1,ccs.ornl.gov,4144,128,pilot.0000,rp.session.titan-ext1.merzky1.017447.0020
0,,,3722.1092999,16.8833999634,2792.01150012,80.6156001091,16.8907001019,16.8863999844,2711.39590001,930.097799778,63.7249000072,0.00430011749268,0.00300002098083,exp1,ccs.ornl.gov,2096,64,pilot.0000,rp.session.titan-ext1.merzky1.017447.0019
