,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext1.merzky1.017447.0007,34.2075998783,173.754600048,914.572099924,207.087599993,0.00450015068054,0.00300002098083,1335.79830003,900.171700001,0.311199903488,0.487999916077,0.27690076828,0.00600004196167,0.0446000099182,exp1,1072,1072,1,1,1,32,32,0,rp.session.titan-ext1.merzky1.017447.0007
rp.session.titan-ext1.merzky1.017447.0013,17.1785001755,22572.7587001,1105.75119996,69.2130999565,0.00449991226196,0.00309991836548,23770.9138,1091.80199981,61.1684999466,128.907198668,57.158904314,0.13689994812,1.23939990997,exp1,32816,32816,1,1,1,1024,1024,0,rp.session.titan-ext1.merzky1.017447.0013
rp.session.titan-ext1.merzky1.017447.0010,46.3652000427,1626.56419992,942.722700119,176.856600046,0.00409984588623,0.0032000541687,2798.34019995,930.229499817,0.758199930191,1.04830002785,0.676000118256,0.0096001625061,0.0767998695374,exp1,2096,2096,1,1,1,64,64,0,rp.session.titan-ext1.merzky1.017447.0010
rp.session.titan-ext1.merzky1.017447.0011,16.7418999672,1076.97280002,947.781099796,70.0556001663,0.00419998168945,0.00279998779297,2118.62450004,935.35710001,1.94510006905,2.49960017204,1.77670049667,0.0173997879028,0.157400131226,exp1,4144,4144,1,1,1,128,128,0,rp.session.titan-ext1.merzky1.017447.0011
rp.session.titan-ext1.merzky1.017447.0009,35.3980998993,10853.7303998,952.157500029,207.768900156,0.00379991531372,0.0032000541687,12054.3807001,930.682800055,5.43699979782,5.32769942284,5.01980352402,0.0332000255585,0.311300039291,exp1,8240,8240,1,1,1,256,256,0,rp.session.titan-ext1.merzky1.017447.0009
rp.session.titan-ext1.merzky1.017447.0008,34.9244000912,33273.9315,2072.62440014,209.45539999,0.0267000198364,0.00279998779297,35596.6794002,2054.66650009,212.85800004,1047.59069872,209.701299429,0.282400131226,2.48449993134,exp1,65584,65584,1,1,1,2048,2048,0,rp.session.titan-ext1.merzky1.017447.0008
rp.session.titan-ext1.merzky1.017447.0018,16.9611001015,4881.74810004,2532.72049999,63.0859999657,0.00410008430481,0.0025999546051,7500.30840015,2514.68299985,239.855499983,1591.1225009,225.208203316,0.272300004959,2.46840000153,exp1,65584,65584,1,1,1,2048,2048,0,rp.session.titan-ext1.merzky1.017447.0018
rp.session.titan-ext1.merzky1.017447.0020,17.1037998199,1764.85400009,947.267499924,64.3116998672,0.00370001792908,0.00290012359619,2799.28359985,930.367900133,1.96580004692,3.01009988785,1.78339958191,0.0178000926971,0.157599925995,exp1,4144,4144,1,1,1,128,128,0,rp.session.titan-ext1.merzky1.017447.0020
rp.session.titan-ext1.merzky1.017447.0019,16.8833999634,2711.39590001,930.097799778,63.7249000072,0.00430011749268,0.00300002098083,3728.2262001,915.414399862,0.817299842834,1.12239980698,0.727900266647,0.00979995727539,0.0762000083923,exp1,2096,2096,1,1,1,64,64,0,rp.session.titan-ext1.merzky1.017447.0019
