#sid,cfg,ttc
profiler_titan_512_32_16384_60_5.0,5,1008.4
profiler_titan_512_32_16384_60_5.1,5,1080.1
profiler_titan_512_32_16384_60_5.2,5,2778.5
profiler_titan_512_32_16384_60_5.3,5,1077.8
profiler_titan_512_32_16384_60_5.8,5,1018.9
profiler_titan_512_32_16384_60_5.9,5,1042.3
profiler_titan_512_32_16384_60_6.0,6,1052.9
profiler_titan_512_32_16384_60_6.1,6, 999.0
profiler_titan_512_32_16384_60_6.2,6,1022.4
profiler_titan_512_32_16384_60_6.3,6,1040.5
profiler_titan_512_32_16384_60_6.4,6,1046.9
profiler_titan_512_32_16384_60_6.5,6,1032.6
profiler_titan_512_32_16384_60_6.6,6,1089.5
profiler_titan_512_32_16384_60_6.7,6,1144.9
profiler_titan_512_32_16384_60_6.8,6,1147.4
profiler_titan_512_32_16384_60_6.9,6,1116.2
